Date,Facility,Average Daily Population
2014-03,Santa Cruz Blaine Womens Min,18
2014-04,Santa Cruz Blaine Womens Min,18
2014-05,Santa Cruz Blaine Womens Min,16
2014-06,Santa Cruz Blaine Womens Min,14
2014-07,Santa Cruz Blaine Womens Min,9
2014-08,Santa Cruz Blaine Womens Min,7
2014-09,Santa Cruz Blaine Womens Min,9
2014-10,Santa Cruz Blaine Womens Min,10
2014-11,Santa Cruz Blaine Womens Min,12
2014-12,Santa Cruz Blaine Womens Min,15
2015-01,Santa Cruz Blaine Womens Min,13
2015-02,Santa Cruz Blaine Womens Min,12
2015-03,Santa Cruz Blaine Womens Min,10
2015-04,Santa Cruz Blaine Womens Min,7
2015-05,Santa Cruz Blaine Womens Min,7
2015-06,Santa Cruz Blaine Womens Min,8
2015-07,Santa Cruz Blaine Womens Min,6
2015-08,Santa Cruz Blaine Womens Min,5
2015-09,Santa Cruz Blaine Womens Min,5
2015-10,Santa Cruz Blaine Womens Min,6
2015-11,Santa Cruz Blaine Womens Min,8
2015-12,Santa Cruz Blaine Womens Min,7
2016-01,Santa Cruz Blaine Womens Min,7
2016-02,Santa Cruz Blaine Womens Min,7
2016-03,Santa Cruz Blaine Womens Min,7
2016-04,Santa Cruz Blaine Womens Min,8
2016-05,Santa Cruz Blaine Womens Min,8
2016-06,Santa Cruz Blaine Womens Min,5
2016-07,Santa Cruz Blaine Womens Min,6
2016-08,Santa Cruz Blaine Womens Min,6
2016-09,Santa Cruz Blaine Womens Min,6
2016-10,Santa Cruz Blaine Womens Min,8
2016-11,Santa Cruz Blaine Womens Min,7
2016-12,Santa Cruz Blaine Womens Min,2
2017-01,Santa Cruz Blaine Womens Min,0
2017-02,Santa Cruz Blaine Womens Min,0
2017-03,Santa Cruz Blaine Womens Min,0
2017-04,Santa Cruz Blaine Womens Min,0
2017-05,Santa Cruz Blaine Womens Min,0
2017-06,Santa Cruz Blaine Womens Min,0
2017-07,Santa Cruz Blaine Womens Min,0
2017-08,Santa Cruz Blaine Womens Min,0
2017-09,Santa Cruz Blaine Womens Min,0
2017-10,Santa Cruz Blaine Womens Min,0
2017-11,Santa Cruz Blaine Womens Min,0
2017-12,Santa Cruz Blaine Womens Min,0
2018-01,Santa Cruz Blaine Womens Min,0
2018-02,Santa Cruz Blaine Womens Min,0
2018-03,Santa Cruz Blaine Womens Min,4
2018-04,Santa Cruz Blaine Womens Min,16
2018-05,Santa Cruz Blaine Womens Min,16
2018-06,Santa Cruz Blaine Womens Min,11
2018-07,Santa Cruz Blaine Womens Min,15
2018-08,Santa Cruz Blaine Womens Min,18
2018-09,Santa Cruz Blaine Womens Min,16
2018-10,Santa Cruz Blaine Womens Min,13
2018-11,Santa Cruz Blaine Womens Min,16
2018-12,Santa Cruz Blaine Womens Min,13
2019-01,Santa Cruz Blaine Womens Min,15
2019-02,Santa Cruz Blaine Womens Min,13
2019-03,Santa Cruz Blaine Womens Min,14
2019-04,Santa Cruz Blaine Womens Min,15
2019-05,Santa Cruz Blaine Womens Min,21
2019-06,Santa Cruz Blaine Womens Min,81
2019-07,Santa Cruz Blaine Womens Min,21
2019-08,Santa Cruz Blaine Womens Min,20
2019-09,Santa Cruz Blaine Womens Min,17
2019-10,Santa Cruz Blaine Womens Min,15
2019-11,Santa Cruz Blaine Womens Min,16
2019-12,Santa Cruz Blaine Womens Min,18
2020-01,Santa Cruz Blaine Womens Min,18
2020-02,Santa Cruz Blaine Womens Min,18
2020-03,Santa Cruz Blaine Womens Min,23
2020-04,Santa Cruz Blaine Womens Min,14
2020-05,Santa Cruz Blaine Womens Min,14
2020-06,Santa Cruz Blaine Womens Min,11
2020-07,Santa Cruz Blaine Womens Min,10
2020-08,Santa Cruz Blaine Womens Min,8
2020-09,Santa Cruz Blaine Womens Min,10
2020-10,Santa Cruz Blaine Womens Min,10
2020-11,Santa Cruz Blaine Womens Min,7
2020-12,Santa Cruz Blaine Womens Min,6
2021-01,Santa Cruz Blaine Womens Min,6
2021-02,Santa Cruz Blaine Womens Min,3
2021-03,Santa Cruz Blaine Womens Min,8
2021-04,Santa Cruz Blaine Womens Min,10
2021-05,Santa Cruz Blaine Womens Min,12
2021-06,Santa Cruz Blaine Womens Min,0
2021-07,Santa Cruz Blaine Womens Min,0
2021-08,Santa Cruz Blaine Womens Min,6
2021-09,Santa Cruz Blaine Womens Min,3
2021-10,Santa Cruz Blaine Womens Min,0
2021-11,Santa Cruz Blaine Womens Min,0
2021-12,Santa Cruz Blaine Womens Min,0
2022-01,Santa Cruz Blaine Womens Min,0
2022-02,Santa Cruz Blaine Womens Min,0
2022-03,Santa Cruz Blaine Womens Min,0
2022-04,Santa Cruz Blaine Womens Min,0
2022-05,Santa Cruz Blaine Womens Min,0
2022-06,Santa Cruz Blaine Womens Min,0
2022-07,Santa Cruz Blaine Womens Min,0
2022-08,Santa Cruz Blaine Womens Min,0
2022-09,Santa Cruz Blaine Womens Min,0
2022-10,Santa Cruz Blaine Womens Min,0
2022-11,Santa Cruz Blaine Womens Min,0
2022-12,Santa Cruz Blaine Womens Min,0
2023-01,Santa Cruz Blaine Womens Min,0
2002-01,Santa Cruz Main Jail,326
2002-02,Santa Cruz Main Jail,356
2002-03,Santa Cruz Main Jail,342
2002-04,Santa Cruz Main Jail,356
2002-05,Santa Cruz Main Jail,357
2002-06,Santa Cruz Main Jail,356
2002-07,Santa Cruz Main Jail,371
2002-08,Santa Cruz Main Jail,382
2002-09,Santa Cruz Main Jail,381
2002-10,Santa Cruz Main Jail,382
2002-11,Santa Cruz Main Jail,396
2002-12,Santa Cruz Main Jail,400
2003-01,Santa Cruz Main Jail,371
2003-02,Santa Cruz Main Jail,387
2003-03,Santa Cruz Main Jail,396
2003-04,Santa Cruz Main Jail,411
2003-05,Santa Cruz Main Jail,417
2003-06,Santa Cruz Main Jail,418
2003-07,Santa Cruz Main Jail,410
2003-08,Santa Cruz Main Jail,399
2003-09,Santa Cruz Main Jail,409
2003-10,Santa Cruz Main Jail,409
2003-11,Santa Cruz Main Jail,400
2003-12,Santa Cruz Main Jail,393
2004-01,Santa Cruz Main Jail,403
2004-02,Santa Cruz Main Jail,404
2004-03,Santa Cruz Main Jail,396
2004-04,Santa Cruz Main Jail,404
2004-05,Santa Cruz Main Jail,417
2004-06,Santa Cruz Main Jail,412
2004-07,Santa Cruz Main Jail,410
2004-08,Santa Cruz Main Jail,403
2004-09,Santa Cruz Main Jail,386
2004-10,Santa Cruz Main Jail,392
2004-11,Santa Cruz Main Jail,367
2004-12,Santa Cruz Main Jail,375
2005-01,Santa Cruz Main Jail,377
2005-02,Santa Cruz Main Jail,383
2005-03,Santa Cruz Main Jail,371
2005-04,Santa Cruz Main Jail,382
2005-05,Santa Cruz Main Jail,392
2005-06,Santa Cruz Main Jail,391
2005-07,Santa Cruz Main Jail,408
2005-08,Santa Cruz Main Jail,404
2005-09,Santa Cruz Main Jail,404
2005-10,Santa Cruz Main Jail,394
2005-11,Santa Cruz Main Jail,361
2005-12,Santa Cruz Main Jail,367
2006-01,Santa Cruz Main Jail,359
2006-02,Santa Cruz Main Jail,360
2006-03,Santa Cruz Main Jail,349
2006-04,Santa Cruz Main Jail,343
2006-05,Santa Cruz Main Jail,328
2006-06,Santa Cruz Main Jail,342
2006-07,Santa Cruz Main Jail,357
2006-08,Santa Cruz Main Jail,365
2006-09,Santa Cruz Main Jail,349
2006-10,Santa Cruz Main Jail,343
2006-11,Santa Cruz Main Jail,340
2006-12,Santa Cruz Main Jail,328
2007-01,Santa Cruz Main Jail,356
2007-02,Santa Cruz Main Jail,368
2007-03,Santa Cruz Main Jail,364
2007-04,Santa Cruz Main Jail,364
2007-05,Santa Cruz Main Jail,341
2007-06,Santa Cruz Main Jail,351
2007-07,Santa Cruz Main Jail,350
2007-08,Santa Cruz Main Jail,336
2007-09,Santa Cruz Main Jail,344
2007-10,Santa Cruz Main Jail,336
2007-11,Santa Cruz Main Jail,328
2007-12,Santa Cruz Main Jail,324
2008-01,Santa Cruz Main Jail,318
2008-02,Santa Cruz Main Jail,329
2008-03,Santa Cruz Main Jail,311
2008-04,Santa Cruz Main Jail,288
2008-05,Santa Cruz Main Jail,309
2008-06,Santa Cruz Main Jail,298
2008-07,Santa Cruz Main Jail,313
2008-08,Santa Cruz Main Jail,298
2008-09,Santa Cruz Main Jail,316
2008-10,Santa Cruz Main Jail,318
2008-11,Santa Cruz Main Jail,316
2008-12,Santa Cruz Main Jail,306
2009-01,Santa Cruz Main Jail,305
2009-02,Santa Cruz Main Jail,328
2009-03,Santa Cruz Main Jail,353
